id;start_date;end_date;language
1;2022-03-12T15:38:07;2022-03-12T13:28:22;ENGLISH
2;2022-03-12T01:05:42;2022-03-12T10:31:11;FRENCH
3;2022-03-12T11:01:54;2022-03-11T23:07:02;SPANISH
4;2022-03-12T15:32:43;2022-03-11T20:59:02;FRENCH
5;2022-03-12T17:49:06;2022-03-12T02:08:04;ENGLISH
6;2022-03-12T03:19:49;2022-03-12T17:20:09;SPANISH
7;2022-03-12T11:23:37;2022-03-11T21:57:46;FRENCH
8;2022-03-12T01:49:30;2022-03-11T22:25:19;FRENCH
9;2022-03-12T02:41:08;2022-03-12T14:12:34;FRENCH
10;2022-03-11T22:38:06;2022-03-12T15:35:35;FRENCH
